Query,Solution,Links,Tags,Query added by 
How to recall a sent mail ?,"If it is on gmail, you will immediately see a undo button upon sending a mail. Click that will recall your sent mail.",https://www.copper.com/blog/how-to-recall-an-email-in-gmail,email,SL
What is a bot?,"A bot is a software program that operates on the Internet and performs repetitive tasks. While some bot traffic is from good bots, bad bots can have a huge negative impact on a website or application.",https://www.cloudflare.com/learning/bots/what-is-a-bot/,bot,SL
What is a chat bot?,A chatbot is a piece of software that conducts a conversation via auditory or textual methods.,https://en.wikipedia.org/wiki/Chatbot,chat bot,SL
what is rasa framework?,Rasa is an open source Conversational AI framework.,https://towardsdatascience.com/a-chatbot-from-future-building-an-end-to-end-conversational-assistant-with-rasa-ai-51a1c93dabf2,rasa framework,SL
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
